Radius (um),Gap (nm),Width (nm),Nd (cm^-3),r_L,Lc (um),ER (dB),Q Factor,FSR (nm),f_RC (GHz),f_EO (GHz),VpiL (V.cm),Efficiency (1/V.cm),Is_Valid,Max_Variation,Worst_Case,Is_Robust
10.724699555131693,177.14866638538942,411.70470646639694,2.474178471907682e+18,0.4833896720874859,9.564363189600543,4.950963342967162,5893.664583788855,6.944549987855472,55.27861160434557,28.233741948465905,0.3736774513370672,2.676104743333771,True,0.05644976168347131,gap-5nm→ER,True
9.21712181725682,206.82945895424123,423.8833199448959,1.6859908201026432e+18,0.5,7.577416558804179,4.403842309999681,7416.520327212251,8.22502546735086,44.320915446105616,22.4882501851018,0.5078758318457414,1.9689852072026397,True,0.04834901203417261,gap-5nm→ER,True
11.015235938683832,229.60992487232275,404.8227676756134,1.538320468574168e+18,0.5,9.654239313936984,4.425221680338071,8079.368995525194,6.786065679281092,44.328795019731466,21.075398766141326,0.5465177305205628,1.8297668019800408,True,0.04355212434985398,gap-5nm→ER,True
9.0,150.0,400.0,2.9197693080684954e+18,0.5,2.0,10.010333015682962,7719.454927552435,9.919706282142116,61.80757786894494,23.23406645737935,0.3273127175750728,3.05518223492382,True,0.06666666666666661,gap-5nm→ER,True
9.27615472675418,209.7612695126508,423.6286464217481,1.5422692734415068e+18,0.5,7.486491656064464,4.2035858135067885,7745.054573269496,8.203745631836686,42.41526937592685,21.53098206005494,0.5453980064707664,1.8335233868398828,True,0.04767324312650044,gap-5nm→ER,True
9.292757236179437,208.09963914702817,423.9054840822028,1.4965869467985692e+18,0.5,7.415193655248775,4.134939623723652,7852.249802511021,8.208091472578898,41.75508651770924,21.226413458380687,0.5586761720576425,1.7899456787586476,True,0.04805390360592945,gap-5nm→ER,True
9.251498070625706,207.8973968419168,424.1984261286159,1.4828099359040617e+18,0.5,7.129076722266688,4.347095854843036,8230.26737943182,8.302434467229878,41.5337493199967,20.464185999717465,0.5628249237867511,1.776751451005198,True,0.0481006503780512,gap-5nm→ER,True
9.221655599388098,207.2101451992615,423.5148473127201,1.4887571760110423e+18,0.5,7.016949773086631,4.304331015501828,8139.051908574935,8.349788663707757,41.68412986571645,20.65551804805303,0.5610255199317286,1.78245011050779,True,0.04826018528380252,gap-5nm→ER,True
9.0,209.55758171324703,426.9306129930948,1.6906028971135788e+18,0.4976750287181558,8.051096255333539,4.547592214555419,7613.697106928898,8.27284976594623,44.064713825699776,22.01969761443598,0.5067671139260657,1.9732930028800053,True,0.047719581025151094,gap-5nm→ER,True
9.218611281135267,208.03374683936897,423.6469267365858,1.4387676681077588e+18,0.5,7.17720655658065,4.1652740169372855,8176.233328024792,8.314998453414226,40.96554350159861,20.49627863833739,0.5765661948750099,1.7344062293086462,True,0.04806912412975658,gap-5nm→ER,True
9.0,159.40689252563035,470.4256274582795,2.935574545065679e+18,0.4982132755960411,9.42841724613656,12.419659866876916,8552.755324315207,7.979316255955954,52.69665277275899,20.79381844573632,0.3259021463062229,3.0684056896648477,True,0.06273254463192136,gap-5nm→ER,True
9.230429450882523,208.0100752649221,423.83632705726814,1.420949788004677e+18,0.5,7.140282451114474,4.171517438831334,8275.808129816322,8.314990963517065,40.692899409638166,20.277085084105327,0.5823428209670141,1.7172015589364389,True,0.048074594402525844,gap-5nm→ER,True
9.233921725192468,207.1301431227049,423.3430135945625,1.4093129556158694e+18,0.5,7.017764347128171,4.09532363141089,8216.572942086295,8.34063292501339,40.57315420946095,20.37156861630962,0.586186423565613,1.705941932119941,True,0.048278825328073864,gap-5nm→ER,True
9.00715892871966,209.73950058863065,427.4577485442846,1.472972124692312e+18,0.5,8.018829117310347,4.3343884173127005,8259.328658506796,8.275186064074484,41.08010231324545,20.355086242083445,0.5658301549222474,1.7673147874867383,True,0.04767819114632761,gap-5nm→ER,True
9.252001897514493,207.82847096795072,423.4853010912584,1.3996653727638474e+18,0.5,7.053747980692863,4.062683339365244,8214.405200956646,8.31923718516684,40.420456577073175,20.356167417684336,0.5894165640517093,1.6965929717446326,True,0.048116602857276904,gap-5nm→ER,True
10.692003591001578,207.75849508778327,401.9516096004721,2.7775148621958195e+18,0.5,9.959283697588203,5.148425829144136,5280.506721028852,6.89627198644058,59.99041552623664,31.2775726617238,0.3406564356396228,2.935508903926566,True,0.04813280918200114,gap-5nm→ER,True
