Radius (um),Gap (nm),Width (nm),Nd (cm^-3),r_L,Lc (um),ER (dB),Q Factor,FSR (nm),f_RC (GHz),f_EO (GHz),VpiL (V.cm),Efficiency (1/V.cm),Is_Valid
11.914341513331284,275.7425271522,416.11308481419405,2.148438497789673e+17,0.3205424678355352,4.360958523369054,6.535187168898552,55102.22098593082,7.188958509769946,16.116752509082463,3.431998330614164,2.6396319139541236,0.37884069923295366,False
11.862101986857068,258.6755567163749,446.2794425723256,2.9496468907478406e+17,0.46774051538112177,1.0167377999436533,7.955303433436544,103464.31865963525,7.853701739412404,17.607819552956208,1.8602241360974732,2.048451511205529,0.48817362506740153,False
9.464209889413546,161.93868309319436,466.7930101810649,3.947251833874775e+17,0.16292905959404935,6.6296044800486476,1.6654640858127066,18661.26956485105,8.272711988162762,19.473791679274868,9.154327601908985,1.6225789706754687,0.6163028228966302,False
11.230194312921434,277.23882880679173,446.5894032002145,1.4511310808590968e+18,0.3553812601675348,2.317021113454778,2.8671131424326477,49089.89561031223,7.996833740270974,39.02764578981679,3.922799270544642,0.5726330313128428,1.7463191002226286,False
12.927339518585242,164.82129113937455,427.2389477973511,1.0907548208575654e+17,0.39468107313591266,8.958807823592277,0.8070894620082957,10906.015246578092,6.062328236874632,11.184592876513062,9.462244485516594,4.540043335274471,0.22026221473049978,False
8.139876261627741,130.01059608583563,416.9111493595812,2.7872762120566938e+17,0.252067486252822,3.2606201126687173,0.6141240925513093,7051.76224140607,10.42006206557053,18.322044817449708,15.238705377700047,2.1433727477675317,0.4665544063866483,False
10.006000731093833,191.26885437693664,403.55773430636236,2.517112768460242e+17,0.18055935589293765,6.139971350289635,0.891409554618119,11801.05851310602,7.993112802214084,17.98759529310446,12.119460514165155,2.325517291228522,0.4300118531785765,False
10.305537666046144,220.4334223927885,447.2212919843191,2.593548716728618e+18,0.044082774166930516,2.387133120468853,17.612741890938942,71242.17110472255,8.649081315557384,52.10173427720496,2.7131037988454176,0.35985387453976053,2.7789057468922964,False
12.548855428477225,206.02179681233446,478.6350108247048,1.2036232557386734e+18,0.40767151975260646,3.560622403638681,5.908382125649471,44811.53379723136,7.000370807845259,33.16410402985862,4.283029455489752,0.6650422776887264,1.5036638023606237,False
12.663579065376691,189.0164481944973,416.7323189628393,1.1167097437561533e+17,0.21969825981555302,7.016356216481739,1.0657258190052588,16312.450760541396,6.419596755507924,11.602201841171716,8.295406222999935,4.455428378564897,0.2244453091897983,False
10.86168591912146,223.79519759675148,448.58993751151155,2.78780791427694e+18,0.3351783248001524,1.5784872464285538,3.399920002340248,28490.62850748212,8.421996745438209,53.8529306394665,6.740045004684906,0.33964985525047636,2.9442085269329654,False
11.944908447071445,164.75640801170192,413.36822587500444,2.0543766264052266e+17,0.26513367057517323,3.16850146677674,1.84011245098013,21749.317388460047,7.382143004278797,15.86464608711931,7.761428923612338,2.735883870183402,0.3655125902449084,False
8.049355684130353,193.828614405296,471.0051578253286,2.434373972658155e+17,0.40955275709950895,4.231494313949499,12.020892513057632,65948.18399507388,10.191523279841023,15.15637812237887,2.881356738619623,2.3885364563007436,0.41866641698605445,False
14.51084447635606,158.67877126765302,455.13363516004574,1.7048719376275592e+18,0.48807779265595586,2.548543383970218,12.28838202271456,23443.156145630765,6.2474830149209915,41.50824732806265,8.097515000058474,0.5033711272707831,1.9866057980358907,False
14.120624231387769,212.79343361058986,428.86543085614494,1.483809380989125e+17,0.2093644746712468,4.751495718086698,2.7291796579028675,36189.576493084576,6.1191727795419615,12.995573858193756,4.945774199841136,3.549271495246433,0.28174795907816796,False
9.243063930267404,204.06261487118746,406.18673370490257,9.81361994256766e+17,0.3809893502040239,5.798354295684112,3.1802930402465175,11385.736160617504,8.62201181533039,35.28712930736977,15.314865778707178,0.7830298592863469,1.2770905070100387,False
